,sparse_method,dense_method,score,IS60,IS80,IS90,IS95,IS975,IS
0,OMP,BLR,ES,2806.0093052839975,3659.852020969332,4460.779183911885,5245.414872615935,6053.57026767839,22225.62565045954
1,OMP,BLR,IS,2765.402587601957,3567.361580955005,4322.637806094352,5080.861953355034,5879.709935510924,21615.97386351727
2,OMP,BLR,LogS,2757.784030815179,3569.620513795147,4329.7711906081895,5076.572529063373,5838.489774120394,21572.238038402284
3,OMP,BLR,RMSE,2774.6653050793407,3610.480213655589,4396.851302545323,5157.108393773868,5925.603109125594,21864.708324179715
4,OMP,BLR,VS,2781.5804520542024,3590.7059839520825,4351.338962535714,5128.074625929335,5958.8315464006155,21810.53157087195
5,OMP,GPR,ES,2738.618191902833,3576.149063974495,4405.471046958271,5261.358589243506,6194.76643635833,22176.363328437434
6,OMP,GPR,IS,2758.5783865316184,3561.250987480073,4330.785602249667,5093.138236382967,5875.3196221783455,21619.07283482267
7,OMP,GPR,LogS,2749.3541535110126,3546.344914618245,4307.651907987869,5065.326552737879,5843.638259767051,21512.315788622058
8,OMP,GPR,RMSE,2735.7610896600136,3577.912485324984,4413.380706461957,5280.955101256868,6238.347423631683,22246.356806335505
9,OMP,GPR,VS,3248.4352447642464,4605.682553091307,6369.14067018057,8851.767513879386,12498.48860821972,35573.51459013523
10,OMP,MTGPR,ES,2766.6792794798503,3714.8200541969777,4774.662864799245,6050.253283647909,7697.965054121269,25004.380536245248
11,OMP,MTGPR,IS,2740.955543076142,3613.998626336111,4530.100860160289,5569.176099317642,6859.578837183651,23313.809966073833
12,OMP,MTGPR,LogS,2785.0093538819083,3683.5415571217,4631.966726106205,5717.304052592657,7063.969032858904,23881.790722561374
13,OMP,MTGPR,RMSE,2745.0319802866616,3651.417923621428,4657.566710401803,5872.265670069451,7461.1319060264905,24387.414190405834
14,OMP,MTGPR,VS,3136.90388219961,4538.552720251078,6505.7426508830995,9529.799857814323,14468.4309870336,38179.43009818171
15,OMP,RVM,ES,3234.967256128495,4353.635626786282,5628.309926031903,7240.58384094933,9424.731699461483,29882.228349357494
16,OMP,RVM,IS,2793.0277285507445,3622.4022859113657,4415.852050549103,5211.7203732292855,6025.032812366434,22068.035250606932
17,OMP,RVM,LogS,2781.699300769488,3626.763943759286,4431.862352161398,5240.33480842869,6075.012153309919,22155.67255842878
