,sparse_method,dense_method,score,IS60,IS80,IS90,IS95,IS975,IS
0,OMP,MTGPR,ES,2634.68231117832,3405.8571563325618,4160.122378226363,4937.515386486715,5806.142220603241,20944.319452827203
1,OMP,MTGPR,IS,2626.365117389696,3396.5666346101625,4142.365185765082,4910.15620500018,5762.610572222411,20838.063714987533
2,OMP,MTGPR,LogS,3195.9321782685834,4164.934769117451,5178.862140148959,6393.410827082158,8014.055008538674,26947.194923155825
3,OMP,MTGPR,RMSE,2627.0438408622185,3400.6614693895244,4161.025150510574,4953.0243991726375,5834.92503413658,20976.679894071534
4,OMP,MTGPR,VS,3025.8355060142367,3952.8207309899053,4933.480824374368,6122.039911434688,7730.443316022653,25764.620288835853
5,elastic_net,MTGPR,ES,2587.488698664633,3352.975537967189,4107.500475135505,4906.802012001821,5778.075201478211,20732.84192524736
6,elastic_net,MTGPR,IS,2613.4573033006563,3381.937993055093,4130.7186031806095,4939.40398569665,5829.970382853979,20895.48826808699
7,elastic_net,MTGPR,LogS,3092.674839456728,4054.160043282197,5063.406666337932,6272.7804967339,7878.639232880601,26361.661278691357
8,elastic_net,MTGPR,RMSE,2960.829510689811,3892.06508522434,4866.272180647,6006.184263141389,7529.078544875336,25254.429584577876
9,elastic_net,MTGPR,VS,3035.957970506934,4008.5744718172346,5048.368017963945,6298.383510827636,8000.614594139596,26391.898565255346
10,group_lasso,MTGPR,ES,2837.222863216928,3644.1003474529907,4425.967725944046,5246.170816197546,6171.612367699286,22325.0741205108
11,group_lasso,MTGPR,IS,3004.6535257994487,3853.83819785187,4665.295859244461,5525.261352567413,6502.766882790613,23551.815818253806
12,group_lasso,MTGPR,LogS,3580.0555270086757,4576.043243041621,5547.949947837342,6605.0636273762,7871.0341875324575,28180.146532796294
13,group_lasso,MTGPR,RMSE,2746.4027037700885,3522.3970886442366,4269.407743000793,5039.662599480232,5887.0623063113535,21464.932441206704
14,group_lasso,MTGPR,VS,2833.229179110941,3639.2368712883626,4420.038141703833,5243.934225545629,6167.165324039916,22303.603741688683
15,lasso,MTGPR,ES,2590.426843383204,3362.5528368916434,4125.330616333254,4926.528615588282,5815.748034507089,20820.58694670347
16,lasso,MTGPR,IS,2606.5210635109916,3387.3041409968037,4156.81447790328,4970.852057313186,5881.270397508124,21002.762137232385
17,lasso,MTGPR,LogS,3102.608647753106,4051.384180242295,5042.203325955448,6215.498164992648,7748.39306916836,26160.087388111857
18,lasso,MTGPR,RMSE,3047.8108836691536,4037.5191025139725,5100.166914375189,6407.688647828257,8216.179842497635,26809.365390884206
19,lasso,MTGPR,VS,3062.44052408154,4049.503485680507,5105.685579831118,6399.880305473036,8171.227261888923,26788.737156955125
